Alcohol,Malic_acid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,OD280_OD315_of_diluted_wines,Proline,class
'\'(14.07-14.45]\'','\'(1.752-2.258]\'','\'(2.295-2.482]\'','\'(16.42-18.36]\'','\'(97.6-106.8]\'','\'(2.72-3.01]\'','\'(3.184-3.658]\'','\'(0.183-0.236]\'','\'(2.312-2.629]\'','\'(4.796-5.968]\'','\'(1.218-1.341]\'','\'(2.908-3.181]\'','\'(1399.6-1539.8]\'',1
'\'(14.07-14.45]\'','\'(1.246-1.752]\'','\'(2.295-2.482]\'','\'(16.42-18.36]\'','\'(88.4-97.6]\'','\'(2.14-2.43]\'','\'(2.236-2.71]\'','\'(0.236-0.289]\'','\'(1.361-1.678]\'','\'(4.796-5.968]\'','\'(1.095-1.218]\'','\'(2.635-2.908]\'','\'(1259.4-1399.6]\'',1
'\'(13.69-14.07]\'','\'(1.246-1.752]\'','\'(2.295-2.482]\'','\'(14.48-16.42]\'','\'(88.4-97.6]\'','\'(2.43-2.72]\'','\'(2.71-3.184]\'','\'(0.289-0.342]\'','\'(1.678-1.995]\'','\'(4.796-5.968]\'','\'(1.095-1.218]\'','\'(2.635-2.908]\'','\'(1259.4-1399.6]\'',1
'\'(14.45-inf)\'','\'(1.246-1.752]\'','\'(2.295-2.482]\'','\'(-inf-12.54]\'','\'(88.4-97.6]\'','\'(3.01-3.3]\'','\'(3.658-4.132]\'','\'(0.395-0.448]\'','\'(2.629-2.946]\'','\'(4.796-5.968]\'','\'(1.218-1.341]\'','\'(2.635-2.908]\'','\'(1119.2-1259.4]\'',1
'\'(14.07-14.45]\'','\'(1.752-2.258]\'','\'(2.295-2.482]\'','\'(-inf-12.54]\'','\'(97.6-106.8]\'','\'(3.01-3.3]\'','\'(3.184-3.658]\'','\'(0.289-0.342]\'','\'(2.946-3.263]\'','\'(7.14-8.312]\'','\'(1.095-1.218]\'','\'(2.908-3.181]\'','\'(1539.8-inf)\'',1
'\'(13.31-13.69]\'','\'(1.752-2.258]\'','\'(2.669-2.856]\'','\'(16.42-18.36]\'','\'(106.8-116]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.289-0.342]\'','\'(1.361-1.678]\'','\'(7.14-8.312]\'','\'(1.218-1.341]\'','\'(2.635-2.908]\'','\'(1259.4-1399.6]\'',1
'\'(14.07-14.45]\'','\'(1.752-2.258]\'','\'(2.669-2.856]\'','\'(18.36-20.3]\'','\'(116-125.2]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.289-0.342]\'','\'(1.678-1.995]\'','\'(5.968-7.14]\'','\'(0.972-1.095]\'','\'(2.635-2.908]\'','\'(1259.4-1399.6]\'',1
'\'(13.69-14.07]\'','\'(1.246-1.752]\'','\'(2.482-2.669]\'','\'(18.36-20.3]\'','\'(106.8-116]\'','\'(2.72-3.01]\'','\'(3.184-3.658]\'','\'(0.395-0.448]\'','\'(1.678-1.995]\'','\'(5.968-7.14]\'','\'(1.095-1.218]\'','\'(2.362-2.635]\'','\'(1119.2-1259.4]\'',1
'\'(14.07-14.45]\'','\'(1.246-1.752]\'','\'(2.295-2.482]\'','\'(16.42-18.36]\'','\'(106.8-116]\'','\'(3.01-3.3]\'','\'(3.658-4.132]\'','\'(0.289-0.342]\'','\'(1.678-1.995]\'','\'(8.312-9.484]\'','\'(1.218-1.341]\'','\'(2.635-2.908]\'','\'(1539.8-inf)\'',1
'\'(13.31-13.69]\'','\'(2.764-3.27]\'','\'(2.482-2.669]\'','\'(14.48-16.42]\'','\'(106.8-116]\'','\'(2.43-2.72]\'','\'(2.71-3.184]\'','\'(-inf-0.183]\'','\'(1.361-1.678]\'','\'(4.796-5.968]\'','\'(0.849-0.972]\'','\'(3.181-3.454]\'','\'(838.8-979]\'',1
'\'(13.69-14.07]\'','\'(1.246-1.752]\'','\'(2.108-2.295]\'','\'(14.48-16.42]\'','\'(125.2-134.4]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.236-0.289]\'','\'(1.995-2.312]\'','\'(4.796-5.968]\'','\'(0.972-1.095]\'','\'(3.454-3.727]\'','\'(698.6-838.8]\'',1
'\'(12.55-12.93]\'','\'(3.776-4.282]\'','\'(2.482-2.669]\'','\'(18.36-20.3]\'','\'(97.6-106.8]\'','\'(2.14-2.43]\'','\'(2.236-2.71]\'','\'(0.236-0.289]\'','\'(1.678-1.995]\'','\'(3.624-4.796]\'','\'(0.972-1.095]\'','\'(3.454-3.727]\'','\'(698.6-838.8]\'',1
'\'(13.69-14.07]\'','\'(1.752-2.258]\'','\'(2.295-2.482]\'','\'(16.42-18.36]\'','\'(97.6-106.8]\'','\'(2.43-2.72]\'','\'(2.71-3.184]\'','\'(0.236-0.289]\'','\'(1.678-1.995]\'','\'(3.624-4.796]\'','\'(1.095-1.218]\'','\'(3.727-inf)\'','\'(979-1119.2]\'',1
'\'(12.55-12.93]\'','\'(1.246-1.752]\'','\'(2.482-2.669]\'','\'(16.42-18.36]\'','\'(88.4-97.6]\'','\'(2.43-2.72]\'','\'(2.236-2.71]\'','\'(0.236-0.289]\'','\'(1.361-1.678]\'','\'(3.624-4.796]\'','\'(0.972-1.095]\'','\'(3.454-3.727]\'','\'(979-1119.2]\'',1
'\'(13.31-13.69]\'','\'(1.752-2.258]\'','\'(2.482-2.669]\'','\'(18.36-20.3]\'','\'(88.4-97.6]\'','\'(2.43-2.72]\'','\'(2.236-2.71]\'','\'(0.236-0.289]\'','\'(1.361-1.678]\'','\'(2.452-3.624]\'','\'(1.095-1.218]\'','\'(3.727-inf)\'','\'(838.8-979]\'',1
'\'(12.93-13.31]\'','\'(1.752-2.258]\'','\'(3.043-inf)\'','\'(24.18-26.12]\'','\'(116-125.2]\'','\'(2.43-2.72]\'','\'(2.236-2.71]\'','\'(0.448-0.501]\'','\'(1.678-1.995]\'','\'(2.452-3.624]\'','\'(1.095-1.218]\'','\'(3.181-3.454]\'','\'(698.6-838.8]\'',1
'\'(13.31-13.69]\'','\'(1.752-2.258]\'','\'(2.482-2.669]\'','\'(14.48-16.42]\'','\'(88.4-97.6]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.289-0.342]\'','\'(1.361-1.678]\'','\'(4.796-5.968]\'','\'(0.849-0.972]\'','\'(3.181-3.454]\'','\'(1119.2-1259.4]\'',1
'\'(12.93-13.31]\'','\'(1.246-1.752]\'','\'(2.108-2.295]\'','\'(16.42-18.36]\'','\'(88.4-97.6]\'','\'(2.14-2.43]\'','\'(1.762-2.236]\'','\'(0.236-0.289]\'','\'(1.044-1.361]\'','\'(3.624-4.796]\'','\'(0.972-1.095]\'','\'(2.635-2.908]\'','\'(1259.4-1399.6]\'',1
'\'(13.69-14.07]\'','\'(1.752-2.258]\'','\'(2.669-2.856]\'','\'(18.36-20.3]\'','\'(106.8-116]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.342-0.395]\'','\'(1.678-1.995]\'','\'(3.624-4.796]\'','\'(1.218-1.341]\'','\'(3.181-3.454]\'','\'(838.8-979]\'',1
'\'(13.69-14.07]\'','\'(1.246-1.752]\'','\'(2.108-2.295]\'','\'(14.48-16.42]\'','\'(88.4-97.6]\'','\'(2.43-2.72]\'','\'(2.236-2.71]\'','\'(0.236-0.289]\'','\'(1.678-1.995]\'','\'(3.624-4.796]\'','\'(0.972-1.095]\'','\'(3.454-3.727]\'','\'(979-1119.2]\'',1
'\'(13.69-14.07]\'','\'(1.246-1.752]\'','\'(2.669-2.856]\'','\'(22.24-24.18]\'','\'(97.6-106.8]\'','\'(2.72-3.01]\'','\'(3.184-3.658]\'','\'(0.289-0.342]\'','\'(2.312-2.629]\'','\'(4.796-5.968]\'','\'(1.095-1.218]\'','\'(2.635-2.908]\'','\'(1259.4-1399.6]\'',1
'\'(13.31-13.69]\'','\'(1.246-1.752]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(97.6-106.8]\'','\'(2.72-3.01]\'','\'(3.184-3.658]\'','\'(0.183-0.236]\'','\'(1.678-1.995]\'','\'(5.968-7.14]\'','\'(0.972-1.095]\'','\'(2.635-2.908]\'','\'(1399.6-1539.8]\'',1
'\'(13.31-13.69]\'','\'(1.752-2.258]\'','\'(2.295-2.482]\'','\'(16.42-18.36]\'','\'(97.6-106.8]\'','\'(2.14-2.43]\'','\'(2.236-2.71]\'','\'(0.395-0.448]\'','\'(1.678-1.995]\'','\'(3.624-4.796]\'','\'(1.218-1.341]\'','\'(2.635-2.908]\'','\'(979-1119.2]\'',1
'\'(13.69-14.07]\'','\'(1.246-1.752]\'','\'(2.669-2.856]\'','\'(18.36-20.3]\'','\'(125.2-134.4]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.448-0.501]\'','\'(1.044-1.361]\'','\'(4.796-5.968]\'','\'(1.218-1.341]\'','\'(2.908-3.181]\'','\'(1119.2-1259.4]\'',1
'\'(13.31-13.69]\'','\'(1.752-2.258]\'','\'(2.482-2.669]\'','\'(18.36-20.3]\'','\'(106.8-116]\'','\'(2.14-2.43]\'','\'(2.236-2.71]\'','\'(0.289-0.342]\'','\'(1.361-1.678]\'','\'(3.624-4.796]\'','\'(1.095-1.218]\'','\'(2.635-2.908]\'','\'(979-1119.2]\'',1
'\'(13.31-13.69]\'','\'(1.752-2.258]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(97.6-106.8]\'','\'(2.43-2.72]\'','\'(2.71-3.184]\'','\'(0.236-0.289]\'','\'(1.678-1.995]\'','\'(4.796-5.968]\'','\'(0.972-1.095]\'','\'(3.454-3.727]\'','\'(838.8-979]\'',1
'\'(12.93-13.31]\'','\'(1.246-1.752]\'','\'(2.669-2.856]\'','\'(14.48-16.42]\'','\'(106.8-116]\'','\'(2.43-2.72]\'','\'(2.236-2.71]\'','\'(0.289-0.342]\'','\'(1.044-1.361]\'','\'(3.624-4.796]\'','\'(0.972-1.095]\'','\'(2.635-2.908]\'','\'(838.8-979]\'',1
'\'(12.93-13.31]\'','\'(1.246-1.752]\'','\'(2.482-2.669]\'','\'(16.42-18.36]\'','\'(97.6-106.8]\'','\'(2.43-2.72]\'','\'(2.236-2.71]\'','\'(0.289-0.342]\'','\'(1.361-1.678]\'','\'(3.624-4.796]\'','\'(1.095-1.218]\'','\'(2.362-2.635]\'','\'(979-1119.2]\'',1
'\'(12.93-13.31]\'','\'(1.246-1.752]\'','\'(1.921-2.108]\'','\'(14.48-16.42]\'','\'(97.6-106.8]\'','\'(2.14-2.43]\'','\'(2.236-2.71]\'','\'(0.236-0.289]\'','\'(1.361-1.678]\'','\'(3.624-4.796]\'','\'(1.095-1.218]\'','\'(2.635-2.908]\'','\'(979-1119.2]\'',1
'\'(14.07-14.45]\'','\'(3.776-4.282]\'','\'(2.482-2.669]\'','\'(12.54-14.48]\'','\'(125.2-134.4]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.183-0.236]\'','\'(1.995-2.312]\'','\'(4.796-5.968]\'','\'(0.849-0.972]\'','\'(3.454-3.727]\'','\'(698.6-838.8]\'',1
'\'(13.31-13.69]\'','\'(1.246-1.752]\'','\'(2.295-2.482]\'','\'(14.48-16.42]\'','\'(116-125.2]\'','\'(3.01-3.3]\'','\'(3.184-3.658]\'','\'(0.289-0.342]\'','\'(2.312-2.629]\'','\'(5.968-7.14]\'','\'(0.849-0.972]\'','\'(3.181-3.454]\'','\'(698.6-838.8]\'',1
'\'(13.31-13.69]\'','\'(3.776-4.282]\'','\'(2.108-2.295]\'','\'(18.36-20.3]\'','\'(88.4-97.6]\'','\'(2.43-2.72]\'','\'(2.236-2.71]\'','\'(0.236-0.289]\'','\'(1.361-1.678]\'','\'(3.624-4.796]\'','\'(0.849-0.972]\'','\'(2.908-3.181]\'','\'(979-1119.2]\'',1
'\'(13.69-14.07]\'','\'(1.752-2.258]\'','\'(2.482-2.669]\'','\'(14.48-16.42]\'','\'(97.6-106.8]\'','\'(3.01-3.3]\'','\'(3.184-3.658]\'','\'(-inf-0.183]\'','\'(1.678-1.995]\'','\'(4.796-5.968]\'','\'(0.849-0.972]\'','\'(3.454-3.727]\'','\'(979-1119.2]\'',1
'\'(12.93-13.31]\'','\'(3.776-4.282]\'','\'(2.108-2.295]\'','\'(16.42-18.36]\'','\'(97.6-106.8]\'','\'(2.43-2.72]\'','\'(2.236-2.71]\'','\'(0.289-0.342]\'','\'(1.361-1.678]\'','\'(3.624-4.796]\'','\'(0.726-0.849]\'','\'(2.908-3.181]\'','\'(558.4-698.6]\'',1
'\'(12.93-13.31]\'','\'(1.752-2.258]\'','\'(1.921-2.108]\'','\'(16.42-18.36]\'','\'(106.8-116]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.236-0.289]\'','\'(1.995-2.312]\'','\'(4.796-5.968]\'','\'(0.849-0.972]\'','\'(3.181-3.454]\'','\'(838.8-979]\'',1
'\'(14.07-14.45]\'','\'(3.776-4.282]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(106.8-116]\'','\'(2.72-3.01]\'','\'(2.236-2.71]\'','\'(0.289-0.342]\'','\'(1.044-1.361]\'','\'(4.796-5.968]\'','\'(0.849-0.972]\'','\'(3.181-3.454]\'','\'(979-1119.2]\'',1
'\'(14.07-14.45]\'','\'(3.27-3.776]\'','\'(2.108-2.295]\'','\'(14.48-16.42]\'','\'(97.6-106.8]\'','\'(3.01-3.3]\'','\'(2.71-3.184]\'','\'(0.236-0.289]\'','\'(1.995-2.312]\'','\'(4.796-5.968]\'','\'(0.972-1.095]\'','\'(3.181-3.454]\'','\'(979-1119.2]\'',1
'\'(13.69-14.07]\'','\'(1.246-1.752]\'','\'(2.108-2.295]\'','\'(14.48-16.42]\'','\'(97.6-106.8]\'','\'(3.01-3.3]\'','\'(3.184-3.658]\'','\'(0.183-0.236]\'','\'(1.995-2.312]\'','\'(5.968-7.14]\'','\'(0.849-0.972]\'','\'(3.181-3.454]\'','\'(979-1119.2]\'',1
'\'(14.07-14.45]\'','\'(1.752-2.258]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(97.6-106.8]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.289-0.342]\'','\'(2.312-2.629]\'','\'(5.968-7.14]\'','\'(0.972-1.095]\'','\'(2.635-2.908]\'','\'(979-1119.2]\'',1
'\'(13.69-14.07]\'','\'(1.246-1.752]\'','\'(2.108-2.295]\'','\'(16.42-18.36]\'','\'(106.8-116]\'','\'(2.72-3.01]\'','\'(3.184-3.658]\'','\'(0.289-0.342]\'','\'(1.995-2.312]\'','\'(8.312-9.484]\'','\'(1.095-1.218]\'','\'(2.908-3.181]\'','\'(1259.4-1399.6]\'',1
'\'(12.93-13.31]\'','\'(1.246-1.752]\'','\'(1.921-2.108]\'','\'(-inf-12.54]\'','\'(88.4-97.6]\'','\'(2.72-3.01]\'','\'(3.184-3.658]\'','\'(-inf-0.183]\'','\'(2.629-2.946]\'','\'(7.14-8.312]\'','\'(1.095-1.218]\'','\'(2.908-3.181]\'','\'(1119.2-1259.4]\'',1
'\'(13.69-14.07]\'','\'(1.246-1.752]\'','\'(2.482-2.669]\'','\'(16.42-18.36]\'','\'(88.4-97.6]\'','\'(2.43-2.72]\'','\'(2.71-3.184]\'','\'(0.183-0.236]\'','\'(1.995-2.312]\'','\'(4.796-5.968]\'','\'(1.218-1.341]\'','\'(3.181-3.454]\'','\'(1259.4-1399.6]\'',1
'\'(13.69-14.07]\'','\'(1.246-1.752]\'','\'(2.295-2.482]\'','\'(12.54-14.48]\'','\'(106.8-116]\'','\'(3.59-inf)\'','\'(3.658-4.132]\'','\'(0.289-0.342]\'','\'(1.678-1.995]\'','\'(5.968-7.14]\'','\'(0.972-1.095]\'','\'(3.181-3.454]\'','\'(1119.2-1259.4]\'',1
'\'(13.69-14.07]\'','\'(1.752-2.258]\'','\'(2.669-2.856]\'','\'(16.42-18.36]\'','\'(106.8-116]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.342-0.395]\'','\'(1.678-1.995]\'','\'(5.968-7.14]\'','\'(1.095-1.218]\'','\'(2.908-3.181]\'','\'(1259.4-1399.6]\'',1
'\'(13.69-14.07]\'','\'(1.246-1.752]\'','\'(2.108-2.295]\'','\'(14.48-16.42]\'','\'(116-125.2]\'','\'(2.43-2.72]\'','\'(2.71-3.184]\'','\'(0.183-0.236]\'','\'(1.361-1.678]\'','\'(4.796-5.968]\'','\'(0.849-0.972]\'','\'(3.181-3.454]\'','\'(979-1119.2]\'',1
'\'(13.31-13.69]\'','\'(1.246-1.752]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(106.8-116]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.183-0.236]\'','\'(2.312-2.629]\'','\'(5.968-7.14]\'','\'(0.972-1.095]\'','\'(2.908-3.181]\'','\'(1119.2-1259.4]\'',1
'\'(14.07-14.45]\'','\'(1.246-1.752]\'','\'(2.295-2.482]\'','\'(14.48-16.42]\'','\'(116-125.2]\'','\'(3.01-3.3]\'','\'(2.71-3.184]\'','\'(0.236-0.289]\'','\'(1.995-2.312]\'','\'(5.968-7.14]\'','\'(0.849-0.972]\'','\'(3.181-3.454]\'','\'(838.8-979]\'',1
'\'(12.93-13.31]\'','\'(1.752-2.258]\'','\'(2.669-2.856]\'','\'(16.42-18.36]\'','\'(97.6-106.8]\'','\'(2.72-3.01]\'','\'(3.184-3.658]\'','\'(0.289-0.342]\'','\'(1.361-1.678]\'','\'(5.968-7.14]\'','\'(0.972-1.095]\'','\'(2.635-2.908]\'','\'(1259.4-1399.6]\'',1
'\'(13.69-14.07]\'','\'(1.246-1.752]\'','\'(2.482-2.669]\'','\'(16.42-18.36]\'','\'(106.8-116]\'','\'(3.3-3.59]\'','\'(3.658-4.132]\'','\'(0.183-0.236]\'','\'(1.995-2.312]\'','\'(5.968-7.14]\'','\'(0.849-0.972]\'','\'(2.635-2.908]\'','\'(1259.4-1399.6]\'',1
'\'(12.17-12.55]\'','\'(-inf-1.246]\'','\'(-inf-1.547]\'','\'(-inf-12.54]\'','\'(79.2-88.4]\'','\'(1.85-2.14]\'','\'(-inf-0.814]\'','\'(0.236-0.289]\'','\'(-inf-0.727]\'','\'(-inf-2.452]\'','\'(0.972-1.095]\'','\'(1.816-2.089]\'','\'(418.2-558.4]\'',2
'\'(12.17-12.55]\'','\'(-inf-1.246]\'','\'(2.108-2.295]\'','\'(14.48-16.42]\'','\'(97.6-106.8]\'','\'(1.85-2.14]\'','\'(0.814-1.288]\'','\'(0.607-inf)\'','\'(-inf-0.727]\'','\'(2.452-3.624]\'','\'(1.218-1.341]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',2
'\'(12.55-12.93]\'','\'(1.246-1.752]\'','\'(1.921-2.108]\'','\'(16.42-18.36]\'','\'(97.6-106.8]\'','\'(1.85-2.14]\'','\'(1.288-1.762]\'','\'(0.501-0.554]\'','\'(-inf-0.727]\'','\'(4.796-5.968]\'','\'(0.972-1.095]\'','\'(1.543-1.816]\'','\'(418.2-558.4]\'',2
'\'(13.31-13.69]\'','\'(1.246-1.752]\'','\'(1.734-1.921]\'','\'(16.42-18.36]\'','\'(88.4-97.6]\'','\'(1.85-2.14]\'','\'(1.762-2.236]\'','\'(0.289-0.342]\'','\'(0.727-1.044]\'','\'(3.624-4.796]\'','\'(1.218-1.341]\'','\'(2.362-2.635]\'','\'(558.4-698.6]\'',2
'\'(12.17-12.55]\'','\'(-inf-1.246]\'','\'(2.108-2.295]\'','\'(18.36-20.3]\'','\'(79.2-88.4]\'','\'(3.3-3.59]\'','\'(2.71-3.184]\'','\'(0.183-0.236]\'','\'(1.678-1.995]\'','\'(3.624-4.796]\'','\'(1.218-1.341]\'','\'(2.635-2.908]\'','\'(418.2-558.4]\'',2
'\'(11.79-12.17]\'','\'(1.246-1.752]\'','\'(2.482-2.669]\'','\'(18.36-20.3]\'','\'(97.6-106.8]\'','\'(1.85-2.14]\'','\'(1.288-1.762]\'','\'(0.448-0.501]\'','\'(0.727-1.044]\'','\'(2.452-3.624]\'','\'(1.341-1.464]\'','\'(2.089-2.362]\'','\'(-inf-418.2]\'',2
'\'(12.17-12.55]\'','\'(-inf-1.246]\'','\'(2.482-2.669]\'','\'(16.42-18.36]\'','\'(97.6-106.8]\'','\'(2.14-2.43]\'','\'(2.236-2.71]\'','\'(0.342-0.395]\'','\'(1.995-2.312]\'','\'(3.624-4.796]\'','\'(1.095-1.218]\'','\'(2.089-2.362]\'','\'(558.4-698.6]\'',2
'\'(12.93-13.31]\'','\'(-inf-1.246]\'','\'(1.547-1.734]\'','\'(14.48-16.42]\'','\'(-inf-79.2]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.236-0.289]\'','\'(1.995-2.312]\'','\'(4.796-5.968]\'','\'(1.095-1.218]\'','\'(2.908-3.181]\'','\'(418.2-558.4]\'',2
'\'(12.17-12.55]\'','\'(-inf-1.246]\'','\'(1.734-1.921]\'','\'(18.36-20.3]\'','\'(-inf-79.2]\'','\'(1.85-2.14]\'','\'(1.762-2.236]\'','\'(0.236-0.289]\'','\'(0.727-1.044]\'','\'(3.624-4.796]\'','\'(1.095-1.218]\'','\'(3.454-3.727]\'','\'(418.2-558.4]\'',2
'\'(13.31-13.69]\'','\'(-inf-1.246]\'','\'(2.295-2.482]\'','\'(16.42-18.36]\'','\'(106.8-116]\'','\'(2.43-2.72]\'','\'(1.288-1.762]\'','\'(0.501-0.554]\'','\'(-inf-0.727]\'','\'(2.452-3.624]\'','\'(0.972-1.095]\'','\'(1.816-2.089]\'','\'(698.6-838.8]\'',2
'\'(12.17-12.55]\'','\'(-inf-1.246]\'','\'(1.734-1.921]\'','\'(16.42-18.36]\'','\'(143.6-152.8]\'','\'(1.85-2.14]\'','\'(0.814-1.288]\'','\'(-inf-0.183]\'','\'(2.312-2.629]\'','\'(2.452-3.624]\'','\'(1.218-1.341]\'','\'(2.908-3.181]\'','\'(698.6-838.8]\'',2
'\'(12.17-12.55]\'','\'(1.246-1.752]\'','\'(2.108-2.295]\'','\'(20.3-22.24]\'','\'(97.6-106.8]\'','\'(-inf-1.27]\'','\'(0.814-1.288]\'','\'(0.342-0.395]\'','\'(1.361-1.678]\'','\'(2.452-3.624]\'','\'(0.849-0.972]\'','\'(1.816-2.089]\'','\'(838.8-979]\'',2
'\'(13.69-14.07]\'','\'(1.246-1.752]\'','\'(2.669-2.856]\'','\'(24.18-26.12]\'','\'(79.2-88.4]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.183-0.236]\'','\'(1.678-1.995]\'','\'(2.452-3.624]\'','\'(1.341-1.464]\'','\'(2.908-3.181]\'','\'(-inf-418.2]\'',2
'\'(13.31-13.69]\'','\'(1.246-1.752]\'','\'(2.108-2.295]\'','\'(22.24-24.18]\'','\'(79.2-88.4]\'','\'(1.85-2.14]\'','\'(1.762-2.236]\'','\'(0.236-0.289]\'','\'(0.727-1.044]\'','\'(3.624-4.796]\'','\'(0.972-1.095]\'','\'(2.635-2.908]\'','\'(418.2-558.4]\'',2
'\'(12.93-13.31]\'','\'(1.246-1.752]\'','\'(2.482-2.669]\'','\'(28.06-inf)\'','\'(134.4-143.6]\'','\'(3.01-3.3]\'','\'(2.71-3.184]\'','\'(0.183-0.236]\'','\'(1.678-1.995]\'','\'(2.452-3.624]\'','\'(1.218-1.341]\'','\'(3.454-3.727]\'','\'(979-1119.2]\'',2
